"","Season","End_year","Season_days","Data_days","Missing_Tmin","Missing_Tmax","Incomplete_days","Perc_complete"
"1","1989/1990",1990,365,365,0,0,0,100
"2","1990/1991",1991,365,365,0,0,0,100
"3","1991/1992",1992,366,366,0,0,0,100
"4","1992/1993",1993,365,365,0,0,0,100
"5","1993/1994",1994,365,365,0,0,0,100
"6","1994/1995",1995,365,365,0,0,0,100
"7","1995/1996",1996,366,366,0,0,0,100
"8","1996/1997",1997,365,365,0,0,0,100
"9","1997/1998",1998,365,365,0,0,0,100
"10","1998/1999",1999,365,365,0,0,0,100
"11","1999/2000",2000,366,366,0,0,0,100
"12","2000/2001",2001,365,365,0,0,0,100
"13","2001/2002",2002,365,365,0,0,0,100
"14","2002/2003",2003,365,365,0,0,0,100
"15","2003/2004",2004,366,366,0,0,0,100
"16","2004/2005",2005,365,365,0,0,0,100
"17","2005/2006",2006,365,365,0,0,0,100
"18","2006/2007",2007,365,365,0,0,0,100
"19","2007/2008",2008,366,366,0,0,0,100
"20","2008/2009",2009,365,365,0,0,0,100
"21","2009/2010",2010,365,365,0,0,0,100
"22","2010/2011",2011,365,365,0,0,0,100
"23","2011/2012",2012,366,366,0,0,0,100
"24","2012/2013",2013,365,365,0,0,0,100
"25","2013/2014",2014,365,365,0,0,0,100
"26","2014/2015",2015,365,365,0,0,0,100
"27","2015/2016",2016,366,366,0,0,0,100
"28","2016/2017",2017,365,365,0,0,0,100
"29","2017/2018",2018,365,365,0,0,0,100
"30","2018/2019",2019,365,365,0,0,0,100
"31","2019/2020",2020,366,366,0,0,0,100
