"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","Distance","Overlap_years","Perc_interval_covered"
"10517099999","BONN/FRIESDORF(AUT)","GM",50.7,7.15,19360102,19921231,4.86,3,10
"10518099999","BONN-HARDTHOEHE","GM",50.7,7.033,19750523,19971223,5.78,7.98,26
"10519099999","BONN-ROLEBER","GM",50.733,7.2,20010705,20081231,7.05,7.49,24
"10513099999","KOLN BONN","GM",50.866,7.143,19310101,20241102,15.44,31,100
"10509099999","BUTZWEILERHOF(BAFB)","GM",50.983,6.9,19780901,19950823,31.48,5.64,18
"10502099999","NORVENICH","GM",50.831,6.658,19730101,20241102,33.08,31,100
"10514099999","MENDIG","GM",50.366,7.315,19730102,19971231,43.28,8,26
"10506099999","NUERBURG-BARWEILER","GM",50.367,6.867,19950401,19971231,43.64,2.75,9
"10508099999","BLANKENHEIM","GM",50.45,6.65,19781002,19840504,44.53,0,0
"10510099999","NUERBURG","GM",50.333,6.95,19300901,19921231,45.45,3,10
"10515099999","BENDORF","GM",50.417,7.583,19310102,20030816,48.79,13.62,44
"10504099999","EIFEL","GM",50.65,6.283,20040501,20040501,58.3,0,0
"10526099999","BAD MARIENBERG","GM",50.667,7.967,19730101,20030816,61.54,13.62,44
"10613099999","BUCHEL","GM",50.174,7.063,19730101,20241102,61.95,31,100
"10503099999","AACHEN/MERZBRUCK","GM",50.817,6.183,19780901,19971212,65.28,7.95,26
"10419099999","LUDENSCHEID       &","GM",51.233,7.6,19270906,20030306,66.06,13.18,43
"10400099999","DUSSELDORF","GM",51.289,6.767,19310102,20241102,66.46,31,100
"10616299999","SIEGERLAND","GM",50.708,8.083,20040510,20241102,69.33,16.65,54
"10418099999","LUEDENSCHEID","GM",51.25,7.65,19940301,19971231,69.54,3.84,12
"10437499999","MONCHENGLADBACH","GM",51.23,6.504,19960715,20241102,69.59,24.47,79
"10403099999","MOENCHENGLADBACH","GM",51.233,6.5,19381001,19421031,70.03,0,0
"10501099999","AACHEN","GM",50.783,6.1,19280101,20030816,70.67,13.62,44
"06496099999","ELSENBORN (MIL)","BE",50.467,6.183,19840501,20241102,71.1,31,100
"06495099999","BOTRANGE (MOUNT)","BE",50.5,6.1,19510201,20011015,75.13,11.79,38
"10409099999","ESSEN/MUELHEIM","GM",51.4,6.967,19300414,19431231,75.17,0,0
