"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.8981634566829,2948.38767933243,660
"2002/2003",2003,120,120,100,82.2079959287507,1462.90988030045,417
"2003/2004",2004,120,120,100,70.2973351577356,552.434793380349,851
"2004/2005",2005,121,121,100,66.0036754355648,1176.13255909225,981
"2005/2006",2006,120,120,100,72.3375386669736,2344.1886135785,675
"2006/2007",2007,120,120,100,60.1917589879004,479.265456022349,1204
"2007/2008",2008,120,120,100,83.5730993734717,1882.36568893919,262
"2008/2009",2009,121,121,100,59.8894503141153,804.287509809568,1388
"2009/2010",2010,120,120,100,82.2357159880078,1743.33234319931,501
"2010/2011",2011,120,120,100,76.0277070452153,2261.25486639955,534
"2011/2012",2012,120,120,100,78.2751461827361,3001.41181326601,571
"2012/2013",2013,121,121,100,65.546893473952,1538.90385994182,1087
"2013/2014",2014,120,120,100,82.888801697306,1405.83791935544,495
"2014/2015",2015,120,120,100,71.2176904681064,962.237102297047,860
"2015/2016",2016,120,120,100,81.1531980267073,1263.57642483759,427
"2016/2017",2017,121,121,100,69.5005912729639,643.262183428094,935
"2017/2018",2018,120,120,100,83.1268216639692,1427.64715937409,420
"2018/2019",2019,120,120,100,84.9170809426023,2629.92201863611,311
"2019/2020",2020,120,120,100,75.6559093115338,1013.32428301354,697
"2020/2021",2021,121,121,100,73.5532881184563,1716.81164371385,862
"2021/2022",2022,120,120,100,72.9616388700879,2075.70683225727,765
"2022/2023",2023,120,120,100,72.6916220135354,3901.51181536194,610
"2023/2024",2024,120,120,100,73.2394410116367,509.242915720853,731
"2024/2025",2025,121,121,100,85.7513982833661,2431.27737792133,213
"2025/2026",2026,120,120,100,80.3763049170075,1265.98921495384,535
"2026/2027",2027,120,120,100,62.7633220461757,581.210235385588,1226
"2027/2028",2028,120,120,100,88.419408508461,3227.10669081655,224
"2028/2029",2029,121,121,100,63.7454512579952,533.472472989612,1148
"2029/2030",2030,120,120,100,78.9904128639637,1841.72110625225,575
"2030/2031",2031,120,120,100,61.8219704496732,905.253082243958,1261
"2031/2032",2032,120,120,100,62.3653016414646,492.840294231501,1177
"2032/2033",2033,121,121,100,81.6349480291219,2600.12009811451,463
"2033/2034",2034,120,120,100,68.6307682416755,1713.20149752585,1036
"2034/2035",2035,120,120,100,74.9972620791741,3054.2501197971,550
"2035/2036",2036,120,120,100,76.8914442768537,2147.89986285672,528
"2036/2037",2037,121,121,100,80.5397524635846,1182.6895170919,522
"2037/2038",2038,120,120,100,76.1670009542759,2666.8141027581,706
"2038/2039",2039,120,120,100,83.2038822207251,1078.08156069764,299
"2039/2040",2040,120,120,100,77.5535188338599,1958.02639174522,661
"2040/2041",2041,121,121,100,80.7497578507828,1371.72018900653,516
"2041/2042",2042,120,120,100,86.6175512702666,3630.06014340217,268
"2042/2043",2043,120,120,100,77.5180259648259,3972.34092672507,510
"2043/2044",2044,120,120,100,74.2107466409761,709.326129619993,630
"2044/2045",2045,121,121,100,84.2212848827639,2045.802861178,342
"2045/2046",2046,120,120,100,63.5085668732663,811.945346339751,1038
"2046/2047",2047,120,120,100,78.512795689745,2115.98008652875,597
"2047/2048",2048,120,120,100,79.1307826055763,2457.99362924183,463
"2048/2049",2049,121,121,100,71.5116894976709,1508.10482498672,784
"2049/2050",2050,120,120,100,76.3535646535875,518.138502226298,576
"2050/2051",2051,120,120,100,68.0418289078079,1135.97098179103,999
"2051/2052",2052,120,120,100,74.9512491987989,1229.63719218044,696
"2052/2053",2053,121,121,100,90.6260994136774,2196.05408339389,308
"2053/2054",2054,120,120,100,81.5570024699173,1898.79330911886,539
"2054/2055",2055,120,120,100,82.4827631379012,2031.91030096993,258
"2055/2056",2056,120,120,100,78.1169279720871,1686.03749166822,485
"2056/2057",2057,121,121,100,82.6955038117449,3035.06582559203,350
"2057/2058",2058,120,120,100,69.4494594007156,2625.70295091934,790
"2058/2059",2059,120,120,100,79.5294698422767,631.197775014822,377
"2059/2060",2060,120,120,100,73.0606965746374,1141.83857144509,752
"2060/2061",2061,121,121,100,75.313897023636,675.144430771819,693
"2061/2062",2062,120,120,100,87.7024706892844,3313.43123910448,287
"2062/2063",2063,120,120,100,72.2350605785778,1373.76089923969,905
"2063/2064",2064,120,120,100,72.5304384696865,2365.9758293617,720
"2064/2065",2065,121,121,100,77.8109509464466,1200.48492207821,589
"2065/2066",2066,120,120,100,74.8811465586004,411.537336675625,584
"2066/2067",2067,120,120,100,74.444604859189,1429.59760832769,638
"2067/2068",2068,120,120,100,61.0481951669408,801.734646067314,1077
"2068/2069",2069,121,121,100,80.3811956067802,2671.4840345268,626
"2069/2070",2070,120,120,100,65.6297525310601,2296.39546569326,991
"2070/2071",2071,120,120,100,65.0857476119036,3480.06780430407,976
"2071/2072",2072,120,120,100,82.460609107573,3706.45972259605,302
"2072/2073",2073,121,121,100,71.6724237921553,1056.98507455958,1000
"2073/2074",2074,120,120,100,87.6252397189928,1522.50813088071,192
"2074/2075",2075,120,120,100,68.952120497077,1382.6555495417,819
"2075/2076",2076,120,120,100,70.6101343705741,2174.72106837248,721
"2076/2077",2077,121,121,100,75.759646640563,3164.22371704888,442
"2077/2078",2078,120,120,100,72.3815233889909,2531.4193772194,744
"2078/2079",2079,120,120,100,80.436574832438,2675.30319446803,392
"2079/2080",2080,120,120,100,81.9419818415299,2144.56688472111,440
"2080/2081",2081,121,121,100,73.3368222155514,4842.07992952922,602
"2081/2082",2082,120,120,100,83.4506310919205,1007.1272610937,539
"2082/2083",2083,120,120,100,78.7598166046591,2537.36822401121,525
"2083/2084",2084,120,120,100,75.0303026493093,753.180859223299,775
"2084/2085",2085,121,121,100,79.5075852483933,1618.89141997718,564
"2085/2086",2086,120,120,100,75.6177002597469,946.742352413246,664
"2086/2087",2087,120,120,100,77.7465853183858,2193.27511328924,653
"2087/2088",2088,120,120,100,79.652269960352,1385.63329286996,332
"2088/2089",2089,121,121,100,71.5517770668885,1106.00328187365,798
"2089/2090",2090,120,120,100,69.6558383571755,1674.53508304775,905
"2090/2091",2091,120,120,100,73.845896160994,2274.49550437409,632
"2091/2092",2092,120,120,100,83.1627580190216,1143.648818438,286
"2092/2093",2093,121,121,100,81.3403397937727,2113.10829643416,595
"2093/2094",2094,120,120,100,76.9295195434388,3442.75364239287,348
"2094/2095",2095,120,120,100,78.0236456724524,1724.93343812379,593
"2095/2096",2096,120,120,100,75.3198392454542,1603.76507453388,847
"2096/2097",2097,121,121,100,76.711019931281,977.911040665349,759
"2097/2098",2098,120,120,100,74.1993290481005,1741.92429747002,736
"2098/2099",2099,120,120,100,76.4589106111707,584.91259657871,750
"2099/2100",2100,120,120,100,79.086731362222,2696.96053603454,733
