Treatment;Year;Month;Day;JDay;Tmin;Tmax
1;2018;6;6;157;10,45488333333329933;28,44935000000000
1;2018;6;7;158;16,17530000000000001;25,97011666666670
1;2018;6;8;159;16,26719999999999899;21,96106666666670
1;2018;6;9;160;18,28219999999999956;25,52418333333330
1;2018;6;10;161;16,98920000000000030;23,72625000000000
1;2018;6;11;162;15,49993333333329915;21,56520000000000
1;2018;6;12;163;13,98515000000000086;16,85838333333330
1;2018;6;13;164;7,88678833333332996;16,65348333333330
1;2018;6;14;165;5,56874999999999964;20,76405000000000
1;2018;6;15;166;14,32751666666669976;22,49458333333330
1;2018;6;16;167;11,24638333333330031;24,18570000000000
1;2018;6;17;168;12,43278333333329932;20,13155000000000
1;2018;6;18;169;14,64114999999999966;21,24286666666670
1;2018;6;19;170;11,98306666666669962;21,70110000000000
1;2018;6;20;171;16,85098333333329990;28,26726666666670
1;2018;6;21;172;9,97072333333333027;19,42386666666670
1;2018;6;22;173;8,96877166666667058;16,03411666666670
1;2018;6;23;174;8,89102166666667060;17,29975000000000
1;2018;6;24;175;10,18229999999999968;18,63313333333330
1;2018;6;25;176;12,06828333333329972;19,99891666666670
1;2018;6;26;177;11,84251666666670033;21,78665000000000
1;2018;6;27;178;7,10926499999999972;25,37793333333330
1;2018;6;28;179;7,52170999999999967;26,67671666666670
1;2018;6;29;180;15,10208333333330089;28,27915000000000
1;2018;6;30;181;11,18074999999999974;28,06280000000000
1;2018;7;1;182;13,26720000000000077;25,85536666666670
1;2018;7;2;183;9,11956499999999970;27,36178333333330
1;2018;7;3;184;7,99642666666666013;29,24918333333330
1;2018;7;4;185;13,79278333333330053;25,78480000000000
1;2018;7;5;186;14,57469999999999999;24,75738333333330
1;2018;7;6;187;14,86711666666669984;24,51333333333330
1;2018;7;7;188;12,05563333333330078;25,71830000000000
1;2018;7;8;189;11,28325000000000067;24,86978333333330
1;2018;7;9;190;14,11441666666670081;23,19076666666670
1;2018;7;10;191;12,70795000000000030;17,63920000000000
1;2018;7;11;192;11,69839999999999947;21,80831666666670
1;2018;7;12;193;15,49610000000000021;25,13546666666670
1;2018;7;13;194;14,49039999999999928;26,54696666666670
1;2018;7;14;195;12,42826666666669944;26,99801666666670
1;2018;7;15;196;10,25301666666669931;28,07455000000000
1;2018;7;16;197;10,44319999999999915;29,33705000000000
1;2018;7;17;198;13,47201666666670050;27,91951666666670
1;2018;7;18;199;10,74078333333329915;25,68461666666670
1;2018;7;19;200;10,22964499999999965;27,85040000000000
1;2018;7;20;201;11,66564999999999941;28,45015000000000
1;2018;7;21;202;14,74453333333329930;26,62178333333330
1;2018;7;22;203;17,29885000000000161;26,94048333333330
1;2018;7;23;204;13,50031666666670027;27,40020000000000
1;2018;7;24;205;13,28968333333330065;30,88836666666670
1;2018;7;25;206;15,40113333333330026;30,88708333333330
1;2018;7;26;207;16,75251666666670047;31,15411666666670
1;2018;7;27;208;15,53416666666669954;31,16078333333330
1;2018;7;28;209;19,77653333333330110;27,54281666666670
1;2018;7;29;210;14,67040000000000077;28,96646666666670
1;2018;7;30;211;15,27906666666670077;29,91801666666670
1;2018;7;31;212;15,59416666666670004;32,11459391578100
1;2018;8;1;213;17,35460000000000136;25,57095000000000
1;2018;8;2;214;13,62828333333330022;29,26826666666670
1;2018;8;3;215;16,66328333333330036;32,06795000000000
1;2018;8;4;216;21,35354999999999848;31,81105000000000
1;2018;8;5;217;16,06269999999999953;27,42641666666670
1;2018;8;6;218;11,66658333333329978;29,38775000000000
1;2018;8;7;219;13,87286666666670065;31,58451666666670
1;2018;8;8;220;17,48614999999999853;25,71056666666670
1;2018;8;9;221;14,73621666666669938;28,22516666666670
1;2018;8;10;222;10,51707166666670012;22,46701666666670
1;2018;8;11;223;10,81131666666670021;22,28551666666670
1;2018;8;12;224;8,35253999999999941;26,91403333333330
1;2018;8;13;225;12,64160000000000039;22,26508333333330
1;2018;8;14;226;15,77833333333330046;22,30410000000000
1;2018;8;15;227;15,59556666666670033;23,32378333333330
1;2018;8;16;228;11,41616666666669921;29,75378333333330
1;2018;8;17;229;12,18226666666670077;21,18236666666670
1;2018;8;18;230;9,36737166666665999;25,42561666666670
1;2018;8;19;231;10,61725000000000030;28,07966666666670
1;2018;8;20;232;15,48811666666670028;22,79540000000000
1;2018;8;21;233;16,71606666666669838;26,61443333333330
1;2018;8;22;234;12,14325000000000010;29,41351666666670
1;2018;8;23;235;13,40271666666670036;28,36796666666670
1;2018;8;24;236;13,84661666666669966;19,94116666666670
1;2018;8;25;237;9,63967500000000044;17,11820000000000
1;2018;8;26;238;4,27594000000000030;20,42418333333330
1;2018;8;27;239;12,48644999999999960;22,61140000000000
1;2018;8;28;240;12,55508333333330029;24,11715000000000
1;2018;8;29;241;10,23704999999999998;26,35516666666670
1;2018;8;30;242;11,91656666666670006;19,66425000000000
1;2018;8;31;243;9,02614499999999964;20,12988333333330
1;2018;9;1;244;3,41136166666665996;20,23188333333330
1;2018;9;2;245;3,90266000000000002;20,82366666666670
1;2018;9;3;246;14,86405000000000065;20,77216666666670
1;2018;9;4;247;14,90031666666670063;26,54656666666670
1;2018;9;5;248;15,53911666666670044;27,23838333333330
1;2018;9;6;249;15,97183333333330069;20,30110000000000
1;2018;9;7;250;11,17231666666670087;17,86126666666670
1;2018;9;8;251;6,28366000000000025;21,97775000000000
1;2018;9;9;252;8,46045833333332986;24,90496666666670
1;2018;9;10;253;12,73678333333329959;23,68415000000000
1;2018;9;11;254;11,21658333333330049;28,00803333333330
1;2018;9;12;255;10,56911666666669980;26,48211666666670
1;2018;9;13;256;13,99093333333330058;16,60396666666670
1;2018;9;14;257;7,31322333333332963;21,00608333333330
1;2018;9;15;258;8,91251500000000085;20,46233333333330
1;2018;9;16;259;6,96450166666666970;24,06445000000000
1;2018;9;17;260;6,61012166666666001;27,41326666666670
1;2018;9;18;261;13,81821666666670012;31,38911666666670
1;2018;9;19;262;12,07551666666670087;27,96168333333330
1;2018;9;20;263;12,23801666666670052;26,99145000000000
1;2018;9;21;264;13,11025000000000063;21,68621666666670
1;2018;9;22;265;10,64786666666669923;17,41931666666670
1;2018;9;23;266;8,52941000000000038;14,08295000000000
1;2018;9;24;267;6,92980999999999980;13,86928333333330
1;2018;9;25;268;1,57175500000000001;15,12783333333330
1;2018;9;26;269;2,40488500000000016;18,73005000000000
1;2018;9;27;270;3,45354333333333008;24,40236666666670
1;2018;9;28;271;4,06707333333334020;12,10891666666670
1;2018;9;29;272;-0,54730550000000400;16,27033333333330
1;2018;9;30;273;-0,00331678333333318;17,19948333333330
1;2018;10;1;274;6,98637166666667042;12,39633333333330
1;2018;10;2;275;6,97475833333333028;13,00080000000000
1;2018;10;3;276;6,53337166666667013;14,75741666666670
1;2018;10;4;277;3,87417333333333014;18,01561666666670
1;2018;10;5;278;5,67495666666667020;21,17633333333330
1;2018;10;6;279;8,58511500000000005;24,83623333333330
1;2018;10;7;280;6,10421000000000014;14,37901666666670
1;2018;10;8;281;2,35868833333333017;16,85198333333330
1;2018;10;9;282;5,48788333333332989;20,73186666666670
1;2018;10;10;283;6,36878333333333035;22,51225000000000
1;2018;10;11;284;10,73883333333330015;21,16131666666670
1;2018;10;12;285;13,72968333333330015;25,20363333333330
1;2018;10;13;286;14,61469999999999914;26,76421666666670
1;2018;10;14;287;13,13858333333329931;25,55350000000000
1;2018;10;15;288;9,26177166666666984;25,94220000000000
1;2018;10;16;289;6,62812333333333026;24,77596666666670
1;2018;10;17;290;8,72236499999999992;23,07623333333330
1;2018;10;18;291;8,87666166666667067;15,97248333333330
1;2018;10;19;292;5,97797833333333006;16,32341666666670
1;2018;10;20;293;2,26745166666667020;13,66361666666670
1;2018;10;21;294;-0,03456099999999920;15,88003333333330
1;2018;10;22;295;1,81078333333333008;12,16150000000000
1;2018;10;23;296;5,23472666666666964;13,71566666666670
1;2018;10;24;297;12,18131666666669943;14,19040000000000
1;2018;10;25;298;10,10726666666669971;12,26650000000000
1;2018;10;26;299;6,44865833333332983;10,80826666666670
1;2018;10;27;300;-0,22867216666666901;7,71217166666667
1;2018;10;28;301;-0,42576649999999500;6,46237833333333
1;2018;10;29;302;4,03655999999999970;6,26262833333333
1;2018;10;30;303;3,23723999999999990;8,40432166666666
1;2018;10;31;304;3,70197333333334022;9,47877333333333
1;2018;11;1;305;5,31336666666666968;10,38828833333330
1;2018;11;2;306;0,77658383333333303;10,05457833333330
1;2018;11;3;307;-1,99526333333334005;9,93788833333333
1;2018;11;4;308;-0,98435016666666797;11,44830000000000
1;2018;11;5;309;8,74504333333332973;12,64745000000000
1;2018;11;6;310;7,49004500000000029;15,75471666666670
1;2018;11;7;311;6,83477333333333004;15,87438333333330
1;2018;11;8;312;3,75374499999999989;14,44211666666670
1;2018;11;9;313;5,66127666666667029;14,85726666666670
1;2018;11;10;314;9,91908166666667057;14,96890000000000
1;2018;11;11;315;10,34624999999999950;14,35160000000000
1;2018;11;12;316;9,99824500000000072;19,07081666666670
1;2018;11;13;317;7,80989500000000003;13,55156666666670
1;2018;11;14;318;4,12732666666667036;11,40951666666670
1;2018;11;15;319;2,79852833333332995;7,55845500000000
1;2018;11;16;320;3,96402833333333993;10,43616666666670
1;2018;11;17;321;-2,09500666666667001;10,85103333333330
1;2018;11;18;322;-5,11637666666667013;6,14204000000000
1;2018;11;19;323;-4,18159500000001039;5,62175000000000
1;2018;11;20;324;1,35499999999999998;4,91850000000000
1;2018;11;21;325;-0,89324999999999999;4,48725000000000
1;2018;11;22;326;-1,53875000000000006;10,14775000000000
1;2018;11;23;327;-1,57024999999999992;13,23100000000000
1;2018;11;24;328;0,07375000000000000;6,04675000000000
1;2018;11;25;329;0,70999999999999996;5,60700000000000
1;2018;11;26;330;3,86925000000000008;5,36700000000000
1;2018;11;27;331;-1,25049999999999994;10,02975000000000
