"Month","Tmin","Tmax","CP"
10,-20,-15,0.000000000000105526578297922
10,-20,-14,0.00000000000061975007978403
10,-20,-13,0.00000000000363739919965321
10,-20,-12,0.0000000000212482552885849
10,-20,-11,0.000000000123206120407735
10,-20,-10,0.000000000707812330870027
10,-20,-9,0.0000000040233866411218
10,-20,-8,0.0000000226041197243495
10,-20,-7,0.000000125411643059646
10,-20,-6,0.00000068680620744944
10,-20,-5,0.0000037136571178295
10,-20,-4,0.0000198485860373557
10,-20,-3,0.000103998711378048
10,-20,-2,0.000535782057105566
10,-20,-1,0.00270652541198648
10,-20,0,0.0132380634458805
10,-20,1,0.05932585374693
10,-20,2,0.200477964796047
10,-20,3,0.385304942372158
10,-20,4,0.400339099032145
10,-20,5,0.44335798122216
10,-20,6,0.455021516480316
10,-20,7,0.481015929138395
10,-20,8,0.503410707628848
10,-20,9,0.471585646416916
10,-20,10,0.463116853968184
10,-20,11,0.487971364945993
10,-20,12,0.517006779804497
10,-20,13,0.534970431351205
10,-20,14,0.491714587907437
10,-20,15,0.477337394702263
10,-20,16,0.424727993341005
10,-20,17,0.400973781617555
10,-20,18,0.418072991812891
10,-20,19,0.430579233938077
10,-20,20,0.353664037796456
10,-20,21,0.319851691022869
10,-20,22,0
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,0.000000000000121830887089454
10,-19,-14,0.000000000000697628724126834
10,-19,-13,0.00000000000402908080765137
10,-19,-12,0.0000000000232651816721569
10,-19,-11,0.000000000133698661120104
10,-19,-10,0.000000000762537542516409
10,-19,-9,0.00000000430815878724376
10,-19,-8,0.0000000240796397589976
10,-19,-7,0.000000133042228365097
10,-19,-6,0.000000726562884874103
10,-19,-5,0.00000392533092434453
10,-19,-4,0.0000208183522554286
10,-19,-3,0.000108702889956508
10,-19,-2,0.000558362594649078
10,-19,-1,0.00281271354540728
10,-19,0,0.0137185344384315
10,-19,1,0.0612680956809934
10,-19,2,0.206066081714462
10,-19,3,0.394717953510826
10,-19,4,0.417087437566002
10,-19,5,0.454480244337673
10,-19,6,0.442771931031292
10,-19,7,0.490999667291131
10,-19,8,0.495080431805047
10,-19,9,0.49405111992089
10,-19,10,0.475500768278795
10,-19,11,0.498991904908676
10,-19,12,0.532103875882346
10,-19,13,0.464115721498366
10,-19,14,0.472335065261169
10,-19,15,0.447343399062609
10,-19,16,0.433460806602095
10,-19,17,0.41635988796783
10,-19,18,0.44474644774546
10,-19,19,0.457901731317005
10,-19,20,0.364950864118286
10,-19,21,0.298360982417533
10,-19,22,0.0316755955490554
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,0.000000000000146840191266542
10,-18,-14,0.000000000000803879794060461
10,-18,-13,0.00000000000452804960427635
10,-18,-12,0.0000000000257266650151379
10,-18,-11,0.000000000146131046705532
10,-18,-10,0.00000000082596845150558
10,-18,-9,0.00000000463257488290594
10,-18,-8,0.0000000257501787382707
10,-18,-7,0.000000141688762576282
10,-18,-6,0.000000772221985472921
10,-18,-5,0.00000413824231693078
10,-18,-4,0.0000218573137028198
10,-18,-3,0.000113732690067589
10,-18,-2,0.000582343732478921
10,-18,-1,0.00292474096260913
10,-18,0,0.0142221410604155
10,-18,1,0.0632894186208618
10,-18,2,0.211843668032339
10,-18,3,0.404461508391665
10,-18,4,0.420321402454424
10,-18,5,0.465947906952071
10,-18,6,0.457626478524239
10,-18,7,0.472298602278246
10,-18,8,0.52032755025796
10,-18,9,0.507921501301942
10,-18,10,0.499983093791149
10,-18,11,0.506689744436933
10,-18,12,0.545859747063795
10,-18,13,0.533424464592585
10,-18,14,0.50291946876235
10,-18,15,0.482318466525313
10,-18,16,0.430688792178331
10,-18,17,0.454135563496872
10,-18,18,0.462544264794675
10,-18,19,0.478831480746174
10,-18,20,0.449071343573573
10,-18,21,0.303737732997817
10,-18,22,0.0963502379084479
10,-18,23,0
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,0.000000000000194277135309395
10,-17,-14,0.00000000000096748816275734
10,-17,-13,0.00000000000520893110517046
10,-17,-12,0.0000000000288594564966414
10,-17,-11,0.000000000161278352972475
10,-17,-10,0.000000000900984596403622
10,-17,-9,0.00000000501191498835685
10,-17,-8,0.0000000276784769822297
10,-17,-7,0.000000151719169492921
10,-17,-6,0.000000819535290075476
10,-17,-5,0.00000436944675675696
10,-17,-4,0.000022980989298902
10,-17,-3,0.000119127699069788
10,-17,-2,0.000607860206828631
10,-17,-1,0.00304305556085755
10,-17,0,0.0147501875516972
10,-17,1,0.0653924557962493
10,-17,2,0.217813786749045
10,-17,3,0.414352959915746
10,-17,4,0.431660251040903
10,-17,5,0.477751507324007
10,-17,6,0.47841832259812
10,-17,7,0.500057662946269
10,-17,8,0.523411344638128
10,-17,9,0.495464393210594
10,-17,10,0.51796992687112
10,-17,11,0.534820580016208
10,-17,12,0.558631677930194
10,-17,13,0.527313358092023
10,-17,14,0.465787756751291
10,-17,15,0.476361682574084
10,-17,16,0.454334232137529
10,-17,17,0.458070205929245
10,-17,18,0.489290978500639
10,-17,19,0.494511254320405
10,-17,20,0.461897235053204
10,-17,21,0.283763870643449
10,-17,22,0.129348047755322
10,-17,23,0
10,-17,24,0
10,-17,25,0
10,-17,26,0
10,-17,27,0
10,-17,28,0
10,-17,29,0
10,-17,30,0
10,-16,-15,0.000000000000316106529451762
10,-16,-14,0.00000000000127845552770191
10,-16,-13,0.00000000000625910268104264
10,-16,-12,0.0000000000331369236611689
10,-16,-11,0.000000000180555340512995
10,-16,-10,0.000000000993264193679128
10,-16,-9,0.00000000547434729234087
10,-16,-8,0.0000000299617801109539
10,-16,-7,0.000000162502989197909
10,-16,-6,0.000000871935238695744
10,-16,-5,0.00000462357567246749
10,-16,-4,0.0000242029876002245
10,-16,-3,0.000124935681513655
10,-16,-2,0.000635079304793918
10,-16,-1,0.00316820785335939
10,-16,0,0.0153042671707003
10,-16,1,0.0675804633480454
10,-16,2,0.223980373561017
10,-16,3,0.425201860115467
10,-16,4,0.443671666934496
10,-16,5,0.473239854569166
